Period Ending,Country,Country Code,Product,Court Orders,"Executive, Police, etc.",Items Requested To Be Removed
12/31/2009,Argentina,AR,Web Search,31,0,
12/31/2009,Argentina,AR,Blogger,3,1,
12/31/2009,Argentina,AR,Google Images,7,0,
12/31/2009,Australia,AU,Web Search,0,1,
12/31/2009,Australia,AU,Blogger,0,1,
12/31/2009,Australia,AU,"Google Earth, Google Maps, and Panoramio",0,1,
12/31/2009,Australia,AU,YouTube,0,14,
12/31/2009,Brazil,BR,Web Search,9,0,
12/31/2009,Brazil,BR,Blogger,21,5,
12/31/2009,Brazil,BR,orkut,99,119,
12/31/2009,Brazil,BR,Web Search: Autocomplete,0,1,
12/31/2009,Brazil,BR,Gmail,4,0,
12/31/2009,Brazil,BR,YouTube,32,1,
12/31/2009,Canada,CA,Web Search,0,1,
12/31/2009,Canada,CA,Blogger,0,1,
12/31/2009,Canada,CA,Google Groups,2,0,
12/31/2009,Canada,CA,YouTube,0,12,
12/31/2009,Germany,DE,Web Search,94,4,
12/31/2009,Germany,DE,Blogger,7,3,
12/31/2009,Germany,DE,Web Search: Autocomplete,4,0,
12/31/2009,Germany,DE,YouTube,3,70,
12/31/2009,Germany,DE,Google Videos,0,2,
12/31/2009,Germany,DE,Google Images,1,0,
12/31/2009,Spain,ES,Web Search,1,11,
12/31/2009,Spain,ES,Blogger,3,2,
12/31/2009,Spain,ES,YouTube,4,11,
12/31/2009,United Kingdom,GB,Google AdWords,0,1,
12/31/2009,United Kingdom,GB,Web Search,8,2,
12/31/2009,United Kingdom,GB,Blogger,0,1,
12/31/2009,United Kingdom,GB,Google Groups,1,0,
12/31/2009,United Kingdom,GB,"Google Earth, Google Maps, and Panoramio",0,1,
12/31/2009,United Kingdom,GB,YouTube,0,43,
12/31/2009,United Kingdom,GB,Google Images,1,1,
12/31/2009,India,IN,Web Search,0,2,
12/31/2009,India,IN,Google Books,1,0,
12/31/2009,India,IN,Blogger,0,2,
12/31/2009,India,IN,orkut,0,119,
12/31/2009,India,IN,Google SMS Channels,0,1,
12/31/2009,India,IN,"Google Earth, Google Maps, and Panoramio",0,2,
12/31/2009,India,IN,YouTube,0,15,
12/31/2009,Italy,IT,Web Search,2,0,
12/31/2009,Italy,IT,Blogger,7,1,
12/31/2009,Italy,IT,Google Groups,1,0,
12/31/2009,Italy,IT,YouTube,6,39,
12/31/2009,Italy,IT,Google Videos,0,1,
12/31/2009,South Korea,KR,Google AdWords,0,38,
12/31/2009,South Korea,KR,Web Search,0,18,
12/31/2009,South Korea,KR,Blogger,0,1,
12/31/2009,South Korea,KR,Google News,0,1,
12/31/2009,South Korea,KR,Street View,0,2,
12/31/2009,South Korea,KR,"Google Earth, Google Maps, and Panoramio",0,2,
12/31/2009,South Korea,KR,Web Search: Related results,0,1,
12/31/2009,South Korea,KR,Google Product Search,0,1,
12/31/2009,United States,US,Google AdWords,2,1,
12/31/2009,United States,US,Web Search,22,5,
12/31/2009,United States,US,Google Books,0,1,
12/31/2009,United States,US,Blogger,6,6,
12/31/2009,United States,US,Google Groups,4,1,
12/31/2009,United States,US,Google Apps,1,0,
12/31/2009,United States,US,orkut,0,1,
12/31/2009,United States,US,Gmail,1,0,
12/31/2009,United States,US,"Google Earth, Google Maps, and Panoramio",0,1,
12/31/2009,United States,US,YouTube,7,63,
12/31/2009,United States,US,Google Videos,1,0,
06/30/2010,Argentina,AR,Web Search,7,0,0
06/30/2010,Argentina,AR,Blogger,2,0,2
06/30/2010,Argentina,AR,Google Images,3,0,73
06/30/2010,Austria,AT,Web Search,2,0,143
06/30/2010,Australia,AU,Web Search,7,0,316
06/30/2010,Australia,AU,Google Groups,1,0,314
06/30/2010,Australia,AU,Gmail,0,1,1
06/30/2010,Australia,AU,"Google Earth, Google Maps, and Panoramio",0,1,1
06/30/2010,Australia,AU,YouTube,2,2,7
06/30/2010,Brazil,BR,Web Search,13,0,275
06/30/2010,Brazil,BR,Blogger,15,0,98
06/30/2010,Brazil,BR,Picasa Web Albums,1,0,18318
06/30/2010,Brazil,BR,orkut,99,220,1045
06/30/2010,Brazil,BR,Gmail,1,0,1
06/30/2010,Brazil,BR,"Google Earth, Google Maps, and Panoramio",1,0,1
06/30/2010,Brazil,BR,YouTube,46,1,67
06/30/2010,Brazil,BR,Google Videos,1,0,1
06/30/2010,Switzerland,CH,Web Search,4,0,23
06/30/2010,Switzerland,CH,YouTube,0,1,10
06/30/2010,Germany,DE,Web Search,47,1,1094
06/30/2010,Germany,DE,Google Books,2,0,2
06/30/2010,Germany,DE,Blogger,8,0,11
06/30/2010,Germany,DE,Web Search: Autocomplete,2,0,3
06/30/2010,Germany,DE,YouTube,17,46,295
06/30/2010,Germany,DE,Google Videos,1,0,2
06/30/2010,Spain,ES,YouTube,12,4,18
06/30/2010,France,FR,Web Search,6,0,14
06/30/2010,France,FR,Blogger,4,0,6
06/30/2010,France,FR,Web Search: Autocomplete,2,0,2
06/30/2010,France,FR,YouTube,2,11,14
06/30/2010,United Kingdom,GB,Web Search,8,0,144
06/30/2010,United Kingdom,GB,Blogger,1,0,1
06/30/2010,United Kingdom,GB,Google Groups,1,0,1
06/30/2010,United Kingdom,GB,YouTube,6,29,54
06/30/2010,United Kingdom,GB,Google Videos,3,0,32
06/30/2010,Israel,IL,Web Search,3,1,15
06/30/2010,India,IN,Web Search,2,5,13
06/30/2010,India,IN,Google Books,1,0,1
06/30/2010,India,IN,Blogger,2,3,9
06/30/2010,India,IN,orkut,2,3,5
06/30/2010,India,IN,YouTube,1,11,97
06/30/2010,Italy,IT,Blogger,11,1,15
06/30/2010,Italy,IT,Google Groups,1,0,1
06/30/2010,Italy,IT,YouTube,19,37,1639
06/30/2010,Japan,JP,Web Search,7,0,31
06/30/2010,South Korea,KR,Google AdWords,0,1,51
06/30/2010,South Korea,KR,Web Search,0,92,15497
06/30/2010,South Korea,KR,Textcube,0,1,1
06/30/2010,Libya,LY,YouTube,0,147,1160
06/30/2010,Libya,LY,Google Videos,0,2,17
06/30/2010,Turkey,TR,Web Search,4,0,6
06/30/2010,Turkey,TR,Picasa Web Albums,1,0,75
06/30/2010,Taiwan,TW,Web Search,0,7,8
06/30/2010,Taiwan,TW,Blogger,0,2,2
06/30/2010,Taiwan,TW,YouTube,0,2,2
06/30/2010,United States,US,Google AdWords,1,0,1
06/30/2010,United States,US,Web Search,30,2,66
06/30/2010,United States,US,Blogger,8,0,45
06/30/2010,United States,US,Google Groups,7,0,394
06/30/2010,United States,US,"Google Earth, Google Maps, and Panoramio",2,0,2
06/30/2010,United States,US,YouTube,31,46,169
06/30/2010,United States,US,Google Videos,1,0,1
12/31/2010,Argentina,AR,Web Search,18,0,70
12/31/2010,Argentina,AR,Blogger,2,1,3
12/31/2010,Argentina,AR,Google Images,1,0,3
12/31/2010,Brazil,BR,Google AdWords,0,1,4
12/31/2010,Brazil,BR,Web Search,6,0,17
12/31/2010,Brazil,BR,Blogger,21,0,43
12/31/2010,Brazil,BR,Picasa Web Albums,4,0,11578
12/31/2010,Brazil,BR,orkut,36,111,390
12/31/2010,Brazil,BR,Google Places,2,0,8
12/31/2010,Brazil,BR,YouTube,75,5,319
12/31/2010,Brazil,BR,Google Images,2,0,4
12/31/2010,Canada,CA,Web Search,3,0,12
12/31/2010,Canada,CA,Blogger,3,0,3
12/31/2010,Canada,CA,YouTube,1,0,8
12/31/2010,Switzerland,CH,Web Search,3,0,13
12/31/2010,Switzerland,CH,Blogger,1,0,5
12/31/2010,Germany,DE,Google Sites,1,0,1
12/31/2010,Germany,DE,Web Search,59,5,1513
12/31/2010,Germany,DE,Blogger,4,0,4
12/31/2010,Germany,DE,Street View,0,1,1
12/31/2010,Germany,DE,YouTube,6,40,409
12/31/2010,Germany,DE,Google Images,2,0,4
12/31/2010,Spain,ES,Web Search,1,0,1
12/31/2010,Spain,ES,Blogger,7,0,8
12/31/2010,Spain,ES,YouTube,4,1,30
12/31/2010,France,FR,Web Search,10,0,87
12/31/2010,France,FR,Blogger,5,0,15
12/31/2010,France,FR,Google Docs,1,0,5
12/31/2010,France,FR,Gmail,1,0,1
12/31/2010,France,FR,YouTube,0,6,8
12/31/2010,United Kingdom,GB,Google AdWords,0,2,93360
12/31/2010,United Kingdom,GB,Web Search,7,0,35
12/31/2010,United Kingdom,GB,Blogger,4,0,7
12/31/2010,United Kingdom,GB,Street View,0,2,2
12/31/2010,United Kingdom,GB,YouTube,1,16,40
12/31/2010,United Kingdom,GB,Google Videos,2,0,20
12/31/2010,United Kingdom,GB,Google Images,4,0,54
12/31/2010,India,IN,Web Search,1,9,50
12/31/2010,India,IN,Blogger,4,15,30
12/31/2010,India,IN,Google Profiles,0,2,2
12/31/2010,India,IN,YouTube,1,34,199
12/31/2010,India,IN,Google Images,0,1,1
12/31/2010,Italy,IT,Web Search,1,0,20
12/31/2010,Italy,IT,Blogger,15,0,18
12/31/2010,Italy,IT,Google Groups,1,0,1
12/31/2010,Italy,IT,Gmail,1,0,3
12/31/2010,Italy,IT,YouTube,12,18,88
12/31/2010,Italy,IT,Google Videos,1,0,1
12/31/2010,Japan,JP,Web Search,1,0,2
12/31/2010,Japan,JP,YouTube,10,15,36
12/31/2010,South Korea,KR,Google AdWords,0,1,51
12/31/2010,South Korea,KR,Android Market,0,3,10
12/31/2010,South Korea,KR,Web Search,3,127,32081
12/31/2010,South Korea,KR,Blogger,3,0,8
12/31/2010,South Korea,KR,Textcube,1,0,1
12/31/2010,South Korea,KR,YouTube,0,1,1
12/31/2010,Libya,LY,YouTube,0,68,203
12/31/2010,Russia,RU,Web Search,0,1,10
12/31/2010,Thailand,TH,YouTube,0,1,43
12/31/2010,Turkey,TR,Web Search,3,0,4
12/31/2010,Turkey,TR,YouTube,3,0,15
12/31/2010,United States,US,Web Search,17,0,77
12/31/2010,United States,US,Blogger,10,0,39
12/31/2010,United States,US,Google Groups,6,0,1110
12/31/2010,United States,US,Gmail,1,0,1
12/31/2010,United States,US,YouTube,4,15,193
12/31/2010,United States,US,Google Videos,1,0,1
06/30/2011,Argentina,AR,Google AdWords,0,1,4
06/30/2011,Argentina,AR,Web Search,15,0,47
06/30/2011,Argentina,AR,Blogger,5,0,5
06/30/2011,Australia,AU,Web Search,2,0,2
06/30/2011,Australia,AU,YouTube,0,8,8
06/30/2011,Brazil,BR,Google Sites,1,0,1
06/30/2011,Brazil,BR,Web Search,9,1,50
06/30/2011,Brazil,BR,Blogger,38,2,100
06/30/2011,Brazil,BR,Google Groups,1,0,1
06/30/2011,Brazil,BR,orkut,57,78,380
06/30/2011,Brazil,BR,Gmail,2,0,3
06/30/2011,Brazil,BR,YouTube,32,3,154
06/30/2011,Canada,CA,Web Search,1,1,5
06/30/2011,Canada,CA,Blogger,2,0,2
06/30/2011,Canada,CA,Gmail,0,1,1
06/30/2011,Canada,CA,YouTube,0,4,5
06/30/2011,Germany,DE,Google AdWords,1,0,115
06/30/2011,Germany,DE,Web Search,53,9,1672
06/30/2011,Germany,DE,Blogger,6,0,8
06/30/2011,Germany,DE,"Google Earth, Google Maps, and Panoramio",1,0,1
06/30/2011,Germany,DE,Gmail,1,0,1
06/30/2011,Germany,DE,YouTube,14,38,583
06/30/2011,Germany,DE,Google Images,1,1,25
06/30/2011,Spain,ES,Google AdWords,0,1,8
06/30/2011,Spain,ES,Blogger,3,5,11
06/30/2011,Spain,ES,Picasa Web Albums,0,1,1
06/30/2011,Spain,ES,Gmail,0,1,1
06/30/2011,Spain,ES,YouTube,1,1,3
06/30/2011,France,FR,Web Search,4,0,54
06/30/2011,France,FR,Blogger,2,0,12
06/30/2011,France,FR,Google Groups,1,0,180
06/30/2011,France,FR,YouTube,0,1,2
06/30/2011,France,FR,"Google Earth, Google Maps, and Panoramio",1,0,2
06/30/2011,United Kingdom,GB,Web Search,7,0,43
06/30/2011,United Kingdom,GB,Blogger,2,0,2
06/30/2011,United Kingdom,GB,"Google Earth, Google Maps, and Panoramio",0,1,1
06/30/2011,United Kingdom,GB,YouTube,1,52,220
06/30/2011,United Kingdom,GB,Google Images,2,0,67
06/30/2011,India,IN,Web Search,0,5,5
06/30/2011,India,IN,Blogger,3,14,39
06/30/2011,India,IN,Picasa Web Albums,0,1,1
06/30/2011,India,IN,orkut,0,25,264
06/30/2011,India,IN,"Google Earth, Google Maps, and Panoramio",0,1,1
06/30/2011,India,IN,YouTube,0,19,48
06/30/2011,Italy,IT,Web Search,4,0,4
06/30/2011,Italy,IT,Blogger,11,1,33
06/30/2011,Italy,IT,Web Search: Autocomplete,1,0,1
06/30/2011,Italy,IT,YouTube,9,10,42
06/30/2011,South Korea,KR,Google AdWords,0,3,443
06/30/2011,South Korea,KR,Web Search,0,23,129
06/30/2011,South Korea,KR,Blogger,0,14,17
06/30/2011,South Korea,KR,Google App Engine,0,1,1
06/30/2011,South Korea,KR,orkut,0,1,2
06/30/2011,South Korea,KR,Google Profiles,0,2,2
06/30/2011,South Korea,KR,YouTube,0,44,52
06/30/2011,Netherlands,NL,Blogger,2,0,14
06/30/2011,Netherlands,NL,YouTube,0,2,2
06/30/2011,Norway,NO,Google AdWords,0,2,1814
06/30/2011,Poland,PL,Web Search,0,1,70
06/30/2011,Poland,PL,Blogger,1,0,1
06/30/2011,Poland,PL,YouTube,0,1,1
06/30/2011,Thailand,TH,YouTube,0,2,225
06/30/2011,Turkey,TR,Google AdWords,0,1,1
06/30/2011,Turkey,TR,Web Search,5,5,102
06/30/2011,Turkey,TR,Blogger,4,2,16
06/30/2011,Turkey,TR,"Google Earth, Google Maps, and Panoramio",1,0,1
06/30/2011,Turkey,TR,YouTube,2,19,149
06/30/2011,Taiwan,TW,Google AdWords,1,8,55
06/30/2011,Taiwan,TW,Google Sites,0,1,1
06/30/2011,Taiwan,TW,Blogger,0,5,5
06/30/2011,Taiwan,TW,Gmail,4,44,48
06/30/2011,Taiwan,TW,YouTube,0,6,6
06/30/2011,United States,US,Google AdWords,0,1,7
06/30/2011,United States,US,Web Search,24,3,198
06/30/2011,United States,US,Google Books,1,0,1
06/30/2011,United States,US,Blogger,16,2,47
06/30/2011,United States,US,Google Groups,5,0,379
06/30/2011,United States,US,Picasa Web Albums,0,2,5
06/30/2011,United States,US,Gmail,1,1,2
06/30/2011,United States,US,YouTube,6,26,113
06/30/2011,United States,US,"Google Earth, Google Maps, and Panoramio",1,2,3
06/30/2011,United States,US,Google Images,1,0,2
